iter	Passed	Remaining
763	9244	14955
764	9252	14937
765	9261	14920
766	9269	14901
767	9282	14890
768	9291	14873
769	9299	14855
770	9310	14840
771	9319	14823
772	9329	14809
773	9337	14791
774	9346	14773
775	9356	14757
776	9363	14738
777	9371	14719
778	9380	14702
779	9388	14684
780	9397	14667
781	9404	14648
782	9414	14632
783	9424	14617
784	9432	14599
785	9441	14582
786	9449	14565
787	9458	14548
788	9466	14529
789	9475	14512
790	9483	14495
791	9492	14478
792	9500	14460
793	9509	14443
794	9517	14425
795	9526	14409
796	9534	14391
797	9543	14375
798	9554	14362
799	9562	14343
800	9570	14326
801	9579	14309
802	9587	14291
803	9595	14273
804	9615	14273
805	9622	14254
806	9630	14237
807	9641	14223
808	9649	14205
809	9662	14195
810	9671	14179
811	9681	14165
812	9691	14149
813	9699	14131
814	9709	14117
815	9718	14100
816	9729	14087
817	9738	14072
818	9747	14055
819	9759	14044
820	9774	14036
821	9799	14043
822	9825	14051
823	9847	14054
824	9863	14047
825	9876	14037
826	9888	14026
827	9898	14011
828	9912	14001
829	9923	13988
830	9930	13969
831	9937	13951
832	9946	13934
833	9953	13915
834	9965	13903
835	9972	13884
836	9979	13866
837	9987	13848
838	9994	13830
839	10002	13812
840	10008	13793
841	10017	13777
842	10024	13758
843	10031	13739
844	10040	13724
845	10049	13708
846	10056	13689
847	10064	13671
848	10071	13653
849	10079	13636
850	10086	13618
851	10093	13600
852	10104	13586
853	10111	13568
854	10120	13553
855	10129	13537
856	10137	13520
857	10147	13506
858	10156	13490
859	10164	13473
860	10171	13455
861	10181	13440
862	10188	13423
863	10197	13407
864	10207	13394
865	10215	13376
866	10222	13358
867	10229	13340
868	10238	13325
869	10245	13307
870	10253	13290
871	10261	13274
872	10268	13256
873	10276	13239
874	10285	13223
875	10293	13208
876	10300	13189
877	10309	13173
878	10317	13158
879	10324	13139
880	10330	13121
881	10338	13105
882	10346	13087
883	10353	13071
884	10361	13054
885	10368	13036
886	10378	13022
887	10385	13005
888	10392	12988
889	10400	12971
890	10409	12956
891	10416	12938
892	10422	12920
893	10433	12908
894	10441	12891
895	10452	12878
896	10459	12861
897	10466	12844
898	10473	12827
899	10480	12809
900	10487	12792
901	10495	12775
902	10503	12760
903	10511	12744
904	10518	12726
905	10525	12709
906	10532	12693
907	10540	12676
908	10547	12659
909	10555	12643
910	10563	12627
911	10571	12611
912	10578	12594
913	10586	12578
914	10593	12561
915	10602	12546
916	10609	12529
917	10616	12513
918	10624	12497
919	10633	12483
920	10641	12466
921	10648	12450
922	10656	12434
923	10664	12418
924	10671	12401
925	10678	12385
926	10686	12369
